"File","Para","ExpectedOwner","SignalRule","SignalGlossary","SignalTimeline","SignalCharacter","SignalDecision","RiskScore","RiskTags","Snippet"
"canon/02_glossary.md","66","glossary","True","False","False","False","False","2","rule_leak","由情緒結晶製成的金屬「萬能匙」，繞過內心提煉過程的速成器。軍方將少女精神推至極限，從心之器裂痕收割「靈魂之刺」（情緒結晶），鑄造為裝置。使用者燃燒自己未來靈魂換取現在力量，代價加劇不可逆。"
"canon/01_world_rules_and_costs.md","23","rule","False","False","True","False","False","2","timeline_leak","1. **基礎研究（帝國歷 79 年起）**：發動「靈樹戰爭」；捕獲黑奏作為活體樣本 2. **宏觀設施**：建造[維多利亞之淚](02_glossary.md#term-tears-of-victoria)作為中央監控系統 3. **核心技術突破（帝國歷 98 年前）**：秋穗主導「改變心之器」研究，研發[情緒力量裝置](02_glossary.md#term-emotional-power-device)原型，導致愛莉事故 4. *"
"canon/01_world_rules_and_costs.md","66","rule","False","False","True","False","False","2","timeline_leak","### <a id=""event-alpha-divergence""></a>晴香創世事件"
"canon/02_glossary.md","184","glossary","True","False","False","False","False","2","rule_leak","> 本節只提供術語語意入口；任何規則條文、觸發條件與不可逆判定，以 [World Rules](01_world_rules_and_costs.md) 為唯一權威。"
"canon/02_glossary.md","156","glossary","True","False","False","False","False","2","rule_leak","多出現在關節、鎖骨、脊線等高壓能量路徑，平時是低可見暗紋，高輸出時會發亮、擴散，與[光環](#term-halo)節拍錯位。它不是裝飾，而是「代價正在發生」的身體提示層。當枷鎖紋與光環同時失穩，通常意味角色正接近不可逆耗損閾值。"
"canon/02_glossary.md","231","glossary","True","False","False","False","False","2","rule_leak","在術語層，腐蝕法則只標示「由紋章顯現到結晶剝落的不可逆耗損鏈」。分階段視覺規格見 [Visual Bible](06_visual_bible.md#section-corruption-stages)；機制條文見 [World Rules](01_world_rules_and_costs.md#rule-corpseification)。"
"canon/01_world_rules_and_costs.md","44","rule","True","False","False","False","True","1","decision_ref","<a id=""rule-physiological-rejection""></a> #### 生理排斥法則（Physiological Rejection） - **定義**：靈魂與肉身對外來高能情緒流的防禦性排斥，常呈現「先狂喜、後反噬」。 - **觸發條件**：高強度調律、反覆超限變身、長時間停留情緒污染區。 - **代價**：[靈魂延遲](02_glossary.md#term-soul-lag)、嘔吐、感官錯位、短暫解離。 - "
"canon/01_world_rules_and_costs.md","40","rule","False","False","False","False","True","1","decision_ref","> 統一口徑：情感耗損為主體機制，代謝反應為生理副作用。見 [Decision Log CF-001](99_decision_log.md#decision-cf001)。"
"canon/02_glossary.md","83","glossary","False","False","False","False","True","1","decision_ref","**See also**: [World Rules](01_world_rules_and_costs.md#rule-magic-cost) | [Trinity Spectrum](#term-trinity-spectrum) | [Decision Log](99_decision_log.md#decision-cf001)"
"canon/04_timeline_canon.md","73","timeline","False","False","True","False","True","1","decision_ref","**統計**： - 涵蓋帝國歷 0-114 年 - 關鍵事件節點：80+ - Alpha/Beta 分歧點：**帝國歷 102 年**（見 [CF-002](99_decision_log.md#decision-cf002)） - 故事主線：帝國歷 113-114 年（約 21 個月）"
"canon/01_world_rules_and_costs.md","55","rule","False","False","False","False","True","1","decision_ref","> 統一口徑：見 [Decision Log CF-004a](99_decision_log.md#decision-cf004a)"
"canon/01_world_rules_and_costs.md","53","rule","False","False","False","False","True","1","decision_ref","> 見 [Decision Log CF-004c](99_decision_log.md#decision-cf004c)"
"canon/04_timeline_canon.md","15","timeline","False","False","False","False","True","1","decision_ref","> **世界分裂為 [Alpha](02_glossary.md#term-alpha-line)/[Beta](02_glossary.md#term-beta-line) 兩條時間線的關鍵時刻。** > 關於 102 年的裁決，見 [Decision Log CF-002](99_decision_log.md#decision-cf002)。"
