"SourcePath","CU_ID","CU_HASH","Included","Dest","Handling","Score","Status","Reason"
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U011","e0ce68225397","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-e0ce68225397","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U012","c7de19e07b15","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-c7de19e07b15","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U013","d1a9c120f793","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-d1a9c120f793","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U014","0aec87e515a9","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-0aec87e515a9","REPHRASED","0.86","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U015","a2f65fb0050e","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-a2f65fb0050e","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U016","890b74ed6af3","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-890b74ed6af3","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U017","76b1f00bd4d9","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-76b1f00bd4d9","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U018","fbdc74588f37","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-fbdc74588f37","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U019","e8d5c0e83955","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-e8d5c0e83955","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U020","d014e19a6a28","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-d014e19a6a28","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U021","4f216dde832c","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-4f216dde832c","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U022","95ba9963d606","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-95ba9963d606","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/2. 核心機制（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U023","90b4d3bd58b4","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-90b4d3bd58b4","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U024","f9137d7b5bfa","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-f9137d7b5bfa","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U025","de56d0371a23","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-de56d0371a23","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U026","5503d7989345","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-5503d7989345","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U027","b1a71be1c915","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-b1a71be1c915","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U028","5e3ca9159dbe","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-5e3ca9159dbe","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U029","6169a63102bc","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-6169a63102bc","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U030","73422b5e60a0","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-73422b5e60a0","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U031","a1e1c30385a6","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-a1e1c30385a6","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U032","067c5dad248a","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-067c5dad248a","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U033","9e2003c3018f","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-9e2003c3018f","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U034","45ed7bb99341","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-45ed7bb99341","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U035","6f39b0510157","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-6f39b0510157","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/3. 角色Alpha線設定（已整合至 01_Character_Background_Story.md）::U036","bbde7445b2a8","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-bbde7445b2a8","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/4. 心理整合框架（已整合至 06_Character_Psychology_Analysis.md）::U037","d6ecedadb5be","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-d6ecedadb5be","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/4. 心理整合框架（已整合至 06_Character_Psychology_Analysis.md）::U038","90bb176efb3f","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-90bb176efb3f","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/4. 心理整合框架（已整合至 06_Character_Psychology_Analysis.md）::U039","14b10923bbbe","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-14b10923bbbe","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/4. 心理整合框架（已整合至 06_Character_Psychology_Analysis.md）::U040","e556bacb69e8","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-e556bacb69e8","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/4. 心理整合框架（已整合至 06_Character_Psychology_Analysis.md）::U041","378739a91e4c","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-378739a91e4c","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/4. 心理整合框架（已整合至 06_Character_Psychology_Analysis.md）::U042","58b63e273b96","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-58b63e273b96","ARCHIVED","1","PASS","structural-unit-archived"
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）::U043","175b90a223da","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-175b90a223da","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）::U044","e27f9c058c76","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-e27f9c058c76","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/1. 詳細生理症狀系統::U045","c8b620e17959","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-c8b620e17959","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/1. 詳細生理症狀系統::U046","dac19084fa63","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-dac19084fa63","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/1. 詳細生理症狀系統::U047","37e9b44e322a","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-37e9b44e322a","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/1. 詳細生理症狀系統::U048","d4cea245dd0d","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-d4cea245dd0d","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/1. 詳細生理症狀系統::U049","1e39e2df79ea","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-1e39e2df79ea","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/1. 詳細生理症狀系統::U050","aff4df73c3eb","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-aff4df73c3eb","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/2. 詳細視聽機制::U051","95569f85218b","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-95569f85218b","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/2. 詳細視聽機制::U052","cd8884aa5f91","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-cd8884aa5f91","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/2. 詳細視聽機制::U053","cf0b6b5e0c18","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-cf0b6b5e0c18","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/2. 詳細視聽機制::U054","f5e3582c3c13","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-f5e3582c3c13","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/3. 詳細結局場景描寫::U055","ced963252f0d","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-ced963252f0d","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/3. 詳細結局場景描寫::U056","93bf1b22e4db","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-93bf1b22e4db","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/3. 詳細結局場景描寫::U057","8ed93e55b605","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-8ed93e55b605","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/3. 詳細結局場景描寫::U058","12e30381eb27","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-12e30381eb27","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/❌ 未整合內容（作為備案參考）/3. 詳細結局場景描寫::U059","58b63e273b96","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-58b63e273b96","ARCHIVED","1","PASS","structural-unit-archived"
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容::U060","309751b288ad","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-309751b288ad","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容::U061","1b421c315601","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-1b421c315601","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/核心目標 (North Star)::U062","cf179bf32567","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-cf179bf32567","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/核心目標 (North Star)::U063","c0840acf0947","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-c0840acf0947","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/核心目標 (North Star)::U064","11d632f19ea1","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-11d632f19ea1","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/基本定義::U065","1c925180b069","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-1c925180b069","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/基本定義::U066","6367beeda412","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-6367beeda412","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/基本定義::U067","bea3965b9c2b","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-bea3965b9c2b","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/基本定義::U068","df8583227cfc","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-df8583227cfc","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/基本定義::U069","ce2b00d8ad9c","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-ce2b00d8ad9c","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/主題取向：愛（C）是什麼？::U070","51cae2bd39c5","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-51cae2bd39c5","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/主題取向：愛（C）是什麼？::U071","746aee5f002b","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-746aee5f002b","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/主題取向：愛（C）是什麼？::U072","fa89795778f0","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-fa89795778f0","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/主題取向：愛（C）是什麼？::U073","165a319898b0","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-165a319898b0","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/同步（Synchronization）感覺與比例::U074","7d4309ddf26a","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-7d4309ddf26a","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/同步（Synchronization）感覺與比例::U075","0dcb89365823","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-0dcb89365823","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/二、v0.1 文檔核心內容/同步（Synchronization）感覺與比例::U076","083313e9e680","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-083313e9e680","REPHRASED","1","PASS",""
